Epsilon,TipoConsulta,ValorConsulta,ValorEstimado,ValorReal,ErrorAbsoluto,ErrorRelativo,ErrorMaxPermitido
0.1,RANK,42,0,0,0,0,1.58086e+06
0.1,RANK,46,149120,2704,146416,0.00926181,1.58086e+06
0.1,RANK,46,149120,2704,146416,0.00926181,1.58086e+06
0.1,RANK,46,149120,2704,146416,0.00926181,1.58086e+06
0.1,RANK,46,149120,2704,146416,0.00926181,1.58086e+06
0.1,RANK,48,2200774,1577118,623656,0.0394505,1.58086e+06
0.1,RANK,52,2367336,1766092,601244,0.0380328,1.58086e+06
0.1,RANK,56,2649737,2025657,624080,0.0394773,1.58086e+06
0.1,RANK,56,2649737,2025657,624080,0.0394773,1.58086e+06
0.1,RANK,56,2649737,2025657,624080,0.0394773,1.58086e+06
0.1,RANK,56,2649737,2025657,624080,0.0394773,1.58086e+06
0.1,RANK,56,2649737,2025657,624080,0.0394773,1.58086e+06
0.1,RANK,56,2649737,2025657,624080,0.0394773,1.58086e+06
0.1,RANK,56,2649737,2025657,624080,0.0394773,1.58086e+06
0.1,RANK,56,2649737,2025657,624080,0.0394773,1.58086e+06
0.1,RANK,56,2649737,2025657,624080,0.0394773,1.58086e+06
0.1,RANK,63,5651850,5055937,595913,0.0376955,1.58086e+06
0.1,RANK,68,5933083,5296573,636510,0.0402636,1.58086e+06
0.1,RANK,84,6247235,5649061,598174,0.0378386,1.58086e+06
0.1,RANK,124,6547220,6006489,540731,0.0342049,1.58086e+06
0.1,RANK,164,6976052,6322427,653625,0.0413462,1.58086e+06
0.1,RANK,274,7274968,6631229,643739,0.0407209,1.58086e+06
0.1,RANK,338,7572745,6949298,623447,0.0394373,1.58086e+06
0.1,RANK,426,7888445,7271708,616737,0.0390128,1.58086e+06
0.1,RANK,573,8187358,7583309,604049,0.0382102,1.58086e+06
0.1,RANK,1004,8485646,7903861,581785,0.0368019,1.58086e+06
0.1,RANK,1272,8783406,8220240,563166,0.0356241,1.58086e+06
0.1,RANK,1424,9213279,8526510,686769,0.0434428,1.58086e+06
0.1,RANK,1454,9362399,8689945,672454,0.0425373,1.58086e+06
0.1,RANK,1454,9362399,8689945,672454,0.0425373,1.58086e+06
0.1,RANK,1454,9362399,8689945,672454,0.0425373,1.58086e+06
0.1,RANK,1454,9362399,8689945,672454,0.0425373,1.58086e+06
0.1,RANK,1454,9362399,8689945,672454,0.0425373,1.58086e+06
0.1,RANK,1454,9362399,8689945,672454,0.0425373,1.58086e+06
0.1,RANK,1454,9362399,8689945,672454,0.0425373,1.58086e+06
0.1,RANK,1454,9362399,8689945,672454,0.0425373,1.58086e+06
0.1,RANK,1454,9362399,8689945,672454,0.0425373,1.58086e+06
0.1,RANK,1454,9362399,8689945,672454,0.0425373,1.58086e+06
0.1,RANK,1454,9362399,8689945,672454,0.0425373,1.58086e+06
0.1,RANK,1454,9362399,8689945,672454,0.0425373,1.58086e+06
0.1,RANK,1454,9362399,8689945,672454,0.0425373,1.58086e+06
0.1,RANK,1454,9362399,8689945,672454,0.0425373,1.58086e+06
0.1,RANK,1488,13851772,13277681,574091,0.0363152,1.58086e+06
0.1,RANK,1504,13853308,13314083,539225,0.0341096,1.58086e+06
0.1,RANK,1504,13853308,13314083,539225,0.0341096,1.58086e+06
0.1,RANK,1504,13853308,13314083,539225,0.0341096,1.58086e+06
0.1,RANK,1504,13853308,13314083,539225,0.0341096,1.58086e+06
0.1,RANK,1504,13853308,13314083,539225,0.0341096,1.58086e+06
0.1,RANK,1504,13853308,13314083,539225,0.0341096,1.58086e+06
0.1,RANK,1504,13853308,13314083,539225,0.0341096,1.58086e+06
0.1,QUANTILE,0.05,46,46,0,NA,NA
0.1,QUANTILE,0.1,46,48,2,NA,NA
0.1,QUANTILE,0.15,52,56,4,NA,NA
0.1,QUANTILE,0.2,56,56,0,NA,NA
0.1,QUANTILE,0.25,56,56,0,NA,NA
0.1,QUANTILE,0.3,56,56,0,NA,NA
0.1,QUANTILE,0.35,56,76,20,NA,NA
0.1,QUANTILE,0.4,92,164,72,NA,NA
0.1,QUANTILE,0.45,213,363,150,NA,NA
0.1,QUANTILE,0.5,448,1004,556,NA,NA
0.1,QUANTILE,0.55,1163,1454,291,NA,NA
0.1,QUANTILE,0.6,1454,1454,0,NA,NA
0.1,QUANTILE,0.65,1454,1454,0,NA,NA
0.1,QUANTILE,0.7,1454,1454,0,NA,NA
0.1,QUANTILE,0.75,1454,1454,0,NA,NA
0.1,QUANTILE,0.8,1454,1454,0,NA,NA
0.1,QUANTILE,0.85,1454,1504,50,NA,NA
0.1,QUANTILE,0.9,1504,1504,0,NA,NA
0.1,QUANTILE,0.95,1504,1504,0,NA,NA
0.05,RANK,42,0,0,0,0,790429
0.05,RANK,46,144144,2704,141440,0.00894704,790429
0.05,RANK,46,144144,2704,141440,0.00894704,790429
0.05,RANK,46,144144,2704,141440,0.00894704,790429
0.05,RANK,46,144144,2704,141440,0.00894704,790429
0.05,RANK,48,1870265,1577118,293147,0.0185435,790429
0.05,RANK,52,2098022,1766092,331930,0.0209968,790429
0.05,RANK,56,2342705,2025657,317048,0.0200554,790429
0.05,RANK,56,2342705,2025657,317048,0.0200554,790429
0.05,RANK,56,2342705,2025657,317048,0.0200554,790429
0.05,RANK,56,2342705,2025657,317048,0.0200554,790429
0.05,RANK,56,2342705,2025657,317048,0.0200554,790429
0.05,RANK,56,2342705,2025657,317048,0.0200554,790429
0.05,RANK,56,2342705,2025657,317048,0.0200554,790429
0.05,RANK,56,2342705,2025657,317048,0.0200554,790429
0.05,RANK,56,2342705,2025657,317048,0.0200554,790429
0.05,RANK,63,5349946,5055937,294009,0.0185981,790429
0.05,RANK,68,5586365,5296573,289792,0.0183313,790429
0.05,RANK,84,5966254,5649061,317193,0.0200646,790429
0.05,RANK,124,6293247,6006489,286758,0.0181394,790429
0.05,RANK,164,6607840,6322427,285413,0.0180543,790429
0.05,RANK,274,6914774,6631229,283545,0.0179361,790429
0.05,RANK,338,7237604,6949298,288306,0.0182373,790429
0.05,RANK,426,7547912,7271708,276204,0.0174718,790429
0.05,RANK,573,7862539,7583309,279230,0.0176632,790429
0.05,RANK,1004,8242639,7903861,338778,0.02143,790429
0.05,RANK,1272,8491698,8220240,271458,0.0171716,790429
0.05,RANK,1424,8863631,8526510,337121,0.0213252,790429
0.05,RANK,1454,9029354,8689945,339409,0.0214699,790429
0.05,RANK,1454,9029354,8689945,339409,0.0214699,790429
0.05,RANK,1454,9029354,8689945,339409,0.0214699,790429
0.05,RANK,1454,9029354,8689945,339409,0.0214699,790429
0.05,RANK,1454,9029354,8689945,339409,0.0214699,790429
0.05,RANK,1454,9029354,8689945,339409,0.0214699,790429
0.05,RANK,1454,9029354,8689945,339409,0.0214699,790429
0.05,RANK,1454,9029354,8689945,339409,0.0214699,790429
0.05,RANK,1454,9029354,8689945,339409,0.0214699,790429
0.05,RANK,1454,9029354,8689945,339409,0.0214699,790429
0.05,RANK,1454,9029354,8689945,339409,0.0214699,790429
0.05,RANK,1454,9029354,8689945,339409,0.0214699,790429
0.05,RANK,1454,9029354,8689945,339409,0.0214699,790429
0.05,RANK,1454,9029354,8689945,339409,0.0214699,790429
0.05,RANK,1488,13540390,13277681,262709,0.0166181,790429
0.05,RANK,1504,13606782,13314083,292699,0.0185152,790429
0.05,RANK,1504,13606782,13314083,292699,0.0185152,790429
0.05,RANK,1504,13606782,13314083,292699,0.0185152,790429
0.05,RANK,1504,13606782,13314083,292699,0.0185152,790429
0.05,RANK,1504,13606782,13314083,292699,0.0185152,790429
0.05,RANK,1504,13606782,13314083,292699,0.0185152,790429
0.05,RANK,1504,13606782,13314083,292699,0.0185152,790429
0.05,QUANTILE,0.05,46,46,0,NA,NA
0.05,QUANTILE,0.1,46,48,2,NA,NA
0.05,QUANTILE,0.15,56,56,0,NA,NA
0.05,QUANTILE,0.2,56,56,0,NA,NA
0.05,QUANTILE,0.25,56,56,0,NA,NA
0.05,QUANTILE,0.3,56,56,0,NA,NA
0.05,QUANTILE,0.35,64,76,12,NA,NA
0.05,QUANTILE,0.4,124,164,40,NA,NA
0.05,QUANTILE,0.45,315,363,48,NA,NA
0.05,QUANTILE,0.5,580,1004,424,NA,NA
0.05,QUANTILE,0.55,1330,1454,124,NA,NA
0.05,QUANTILE,0.6,1454,1454,0,NA,NA
0.05,QUANTILE,0.65,1454,1454,0,NA,NA
0.05,QUANTILE,0.7,1454,1454,0,NA,NA
0.05,QUANTILE,0.75,1454,1454,0,NA,NA
0.05,QUANTILE,0.8,1454,1454,0,NA,NA
0.05,QUANTILE,0.85,1470,1504,34,NA,NA
0.05,QUANTILE,0.9,1504,1504,0,NA,NA
0.05,QUANTILE,0.95,1504,1504,0,NA,NA
